% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3128	0	7	8	0	16	133	0	1	1	121.892
3128	0	7	10	0	16	133	0	1	1	225.623
3128	0	8	2	0	16	133	0	1	1	225.623
3128	0	8	3	0	16	133	0	1	1	1266.5
3128	0	8	6	0	16	133	0	1	1	479.364
3128	0	8	8	0	16	133	0	1	1	72.4241
3128	0	8	10	0	16	133	0	1	1	121.892
3128	0	9	2	0	16	133	0	1	1	121.892
3128	0	9	3	0	16	133	0	1	1	479.364
3128	0	9	6	0	16	133	0	1	1	225.623
3128	0	9	8	0	16	133	0	1	1	46.1354
3128	0	9	10	0	16	133	0	1	1	72.4241
3128	0	10	2	0	16	133	0	1	1	72.4241
3128	0	10	3	0	16	133	0	1	1	225.623
3128	0	10	6	0	16	133	0	1	1	121.892
3128	0	10	8	0	16	133	0	1	1	30.9944
3128	0	10	10	0	16	133	0	1	1	46.1354
3136	0	6	2	0	16	133	1	0	1	1266.5
3136	0	6	3	0	16	133	1	0	1	51752
3136	0	6	6	0	16	133	1	0	1	4980.76
3136	0	6	8	0	16	133	1	0	1	225.623
3136	0	6	10	0	16	133	1	0	1	479.364
3136	0	7	2	0	16	133	1	0	1	479.364
3136	0	7	3	0	16	133	1	0	1	4980.76
3136	0	7	6	0	16	133	1	0	1	1266.5
3136	0	7	8	0	16	133	1	0	1	121.892
3136	0	7	10	0	16	133	1	0	1	225.623
3136	0	8	2	0	16	133	1	0	1	225.623
3136	0	8	3	0	16	133	1	0	1	1266.5
3136	0	8	6	0	16	133	1	0	1	479.364
3136	0	8	8	0	16	133	1	0	1	72.4241
3136	0	8	10	0	16	133	1	0	1	121.892
3136	0	9	2	0	16	133	1	0	1	121.892
3136	0	9	3	0	16	133	1	0	1	479.364
3136	0	9	6	0	16	133	1	0	1	225.623
3136	0	9	8	0	16	133	1	0	1	46.1354
3136	0	9	10	0	16	133	1	0	1	72.4241
3136	0	10	2	0	16	133	1	0	1	72.4241
3136	0	10	3	0	16	133	1	0	1	225.623
3136	0	10	6	0	16	133	1	0	1	121.892
3136	0	10	8	0	16	133	1	0	1	30.9944
3136	0	10	10	0	16	133	1	0	1	46.1354
3144	0	6	2	0	16	133	2	0	1	1266.5
3144	0	6	3	0	16	133	2	0	1	51752
3144	0	6	6	0	16	133	2	0	1	4980.76
3144	0	6	8	0	16	133	2	0	1	225.623
3144	0	6	10	0	16	133	2	0	1	479.364
3144	0	7	2	0	16	133	2	0	1	479.364
3144	0	7	3	0	16	133	2	0	1	4980.76
3144	0	7	6	0	16	133	2	0	1	1266.5
3144	0	7	8	0	16	133	2	0	1	121.892
3144	0	7	10	0	16	133	2	0	1	225.623
3144	0	8	2	0	16	133	2	0	1	225.623
3144	0	8	3	0	16	133	2	0	1	1266.5
3144	0	8	6	0	16	133	2	0	1	479.364
3144	0	8	8	0	16	133	2	0	1	72.4241
3144	0	8	10	0	16	133	2	0	1	121.892
3144	0	9	2	0	16	133	2	0	1	121.892
3144	0	9	3	0	16	133	2	0	1	479.364
3144	0	9	6	0	16	133	2	0	1	225.623
3144	0	9	8	0	16	133	2	0	1	46.1354
3144	0	9	10	0	16	133	2	0	1	72.4241
3144	0	10	2	0	16	133	2	0	1	72.4241
3144	0	10	3	0	16	133	2	0	1	225.623
3144	0	10	6	0	16	133	2	0	1	121.892
3144	0	10	8	0	16	133	2	0	1	30.9944
3144	0	10	10	0	16	133	2	0	1	46.1354
3152	0	6	2	0	16	133	3	0	1	1266.5
3152	0	6	3	0	16	133	3	0	1	51752
3152	0	6	6	0	16	133	3	0	1	4980.76
3152	0	6	8	0	16	133	3	0	1	225.623
3152	0	6	10	0	16	133	3	0	1	479.364
3152	0	7	2	0	16	133	3	0	1	479.364
3152	0	7	3	0	16	133	3	0	1	4980.76
3152	0	7	6	0	16	133	3	0	1	1266.5
3152	0	7	8	0	16	133	3	0	1	121.892
3152	0	7	10	0	16	133	3	0	1	225.623
3152	0	8	2	0	16	133	3	0	1	225.623
3152	0	8	3	0	16	133	3	0	1	1266.5
3152	0	8	6	0	16	133	3	0	1	479.364
3152	0	8	8	0	16	133	3	0	1	72.4241
3152	0	8	10	0	16	133	3	0	1	121.892
3152	0	9	2	0	16	133	3	0	1	121.892
3152	0	9	3	0	16	133	3	0	1	479.364
3152	0	9	6	0	16	133	3	0	1	225.623
3152	0	9	8	0	16	133	3	0	1	46.1354
3152	0	9	10	0	16	133	3	0	1	72.4241
3152	0	10	2	0	16	133	3	0	1	72.4241
3152	0	10	3	0	16	133	3	0	1	225.623
3152	0	10	6	0	16	133	3	0	1	121.892
3152	0	10	8	0	16	133	3	0	1	30.9944
3152	0	10	10	0	16	133	3	0	1	46.1354
3248	0	6	2	0	16	133	0	1	1	1266.5
3248	0	6	3	0	16	133	0	1	1	51752
3248	0	6	6	0	16	133	0	1	1	4980.76
3248	0	6	8	0	16	133	0	1	1	225.623
3248	0	6	10	0	16	133	0	1	1	479.364
3248	0	7	2	0	16	133	0	1	1	479.364
3248	0	7	3	0	16	133	0	1	1	4980.76
3248	0	7	6	0	16	133	0	1	1	1266.5
3248	0	7	8	0	16	133	0	1	1	121.892
3248	0	7	10	0	16	133	0	1	1	225.623
3248	0	8	2	0	16	133	0	1	1	225.623
3248	0	8	3	0	16	133	0	1	1	1266.5
3248	0	8	6	0	16	133	0	1	1	479.364
3248	0	8	8	0	16	133	0	1	1	72.4241
3248	0	8	10	0	16	133	0	1	1	121.892
3248	0	9	2	0	16	133	0	1	1	121.892
3248	0	9	3	0	16	133	0	1	1	479.364
3248	0	9	6	0	16	133	0	1	1	225.623
3248	0	9	8	0	16	133	0	1	1	46.1354
3248	0	9	10	0	16	133	0	1	1	72.4241
3248	0	10	2	0	16	133	0	1	1	72.4241
3248	0	10	3	0	16	133	0	1	1	225.623
3248	0	10	6	0	16	133	0	1	1	121.892
3248	0	10	8	0	16	133	0	1	1	30.9944
3248	0	10	10	0	16	133	0	1	1	46.1354
3256	0	6	2	0	16	133	1	0	1	1266.5
3256	0	6	3	0	16	133	1	0	1	51752
3256	0	6	6	0	16	133	1	0	1	4980.76
3256	0	6	8	0	16	133	1	0	1	225.623
3256	0	6	10	0	16	133	1	0	1	479.364
3256	0	7	2	0	16	133	1	0	1	479.364
3256	0	7	3	0	16	133	1	0	1	4980.76
3256	0	7	6	0	16	133	1	0	1	1266.5
3256	0	7	8	0	16	133	1	0	1	121.892
3256	0	7	10	0	16	133	1	0	1	225.623
3256	0	8	2	0	16	133	1	0	1	225.623
3256	0	8	3	0	16	133	1	0	1	1266.5
3256	0	8	6	0	16	133	1	0	1	479.364
3256	0	8	8	0	16	133	1	0	1	72.4241
3256	0	8	10	0	16	133	1	0	1	121.892
3256	0	9	2	0	16	133	1	0	1	121.892
3256	0	9	3	0	16	133	1	0	1	479.364
3256	0	9	6	0	16	133	1	0	1	225.623
3256	0	9	8	0	16	133	1	0	1	46.1354
3256	0	9	10	0	16	133	1	0	1	72.4241
3256	0	10	2	0	16	133	1	0	1	72.4241
3256	0	10	3	0	16	133	1	0	1	225.623
3256	0	10	6	0	16	133	1	0	1	121.892
3256	0	10	8	0	16	133	1	0	1	30.9944
3256	0	10	10	0	16	133	1	0	1	46.1354
3264	0	6	2	0	16	133	2	0	1	1266.5
3264	0	6	3	0	16	133	2	0	1	51752
3264	0	6	6	0	16	133	2	0	1	4980.76
3264	0	6	8	0	16	133	2	0	1	225.623
3264	0	6	10	0	16	133	2	0	1	479.364
3264	0	7	2	0	16	133	2	0	1	479.364
3264	0	7	3	0	16	133	2	0	1	4980.76
3264	0	7	6	0	16	133	2	0	1	1266.5
3264	0	7	8	0	16	133	2	0	1	121.892
3264	0	7	10	0	16	133	2	0	1	225.623
3264	0	8	2	0	16	133	2	0	1	225.623
3264	0	8	3	0	16	133	2	0	1	1266.5
3264	0	8	6	0	16	133	2	0	1	479.364
3264	0	8	8	0	16	133	2	0	1	72.4241
3264	0	8	10	0	16	133	2	0	1	121.892
3264	0	9	2	0	16	133	2	0	1	121.892
3264	0	9	3	0	16	133	2	0	1	479.364
3264	0	9	6	0	16	133	2	0	1	225.623
3264	0	9	8	0	16	133	2	0	1	46.1354
3264	0	9	10	0	16	133	2	0	1	72.4241
3264	0	10	2	0	16	133	2	0	1	72.4241
3264	0	10	3	0	16	133	2	0	1	225.623
3264	0	10	6	0	16	133	2	0	1	121.892
3264	0	10	8	0	16	133	2	0	1	30.9944
3264	0	10	10	0	16	133	2	0	1	46.1354
3272	0	6	2	0	16	133	3	0	1	1266.5
3272	0	6	3	0	16	133	3	0	1	51752
3272	0	6	6	0	16	133	3	0	1	4980.76
3272	0	6	8	0	16	133	3	0	1	225.623
3272	0	6	10	0	16	133	3	0	1	479.364
3272	0	7	2	0	16	133	3	0	1	479.364
3272	0	7	3	0	16	133	3	0	1	4980.76
3272	0	7	6	0	16	133	3	0	1	1266.5
3272	0	7	8	0	16	133	3	0	1	121.892
3272	0	7	10	0	16	133	3	0	1	225.623
3272	0	8	2	0	16	133	3	0	1	225.623
